# Alignment (NOT interpretation) of detected changepoints with observation-log entries within +/-12h; surface mood and anomaly flag quoted verbatim. Field matched as **surface mood:** or **surface mood / register:**. Many brief log entries carry neither field (left blank).
# D_t robust-z outlier clusters (|z|>3.5): [('2026-04-06 07:44:59+00:00', '2026-04-06 13:12:16+00:00', 2), ('2026-04-08 02:28:04+00:00', '2026-04-08 07:21:07+00:00', 2), ('2026-04-09 19:08:27+00:00', '2026-04-09 19:08:27+00:00', 1), ('2026-05-13 19:55:58+00:00', '2026-05-14 03:26:05+00:00', 2), ('2026-05-15 14:07:35+00:00', '2026-05-15 14:07:35+00:00', 1), ('2026-05-19 09:42:44+00:00', '2026-05-19 15:21:18+00:00', 2), ('2026-05-20 15:20:25+00:00', '2026-05-21 03:40:01+00:00', 2), ('2026-05-21 15:26:21+00:00', '2026-05-22 19:45:22+00:00', 3), ('2026-05-31 08:45:45+00:00', '2026-05-31 13:45:23+00:00', 2)]
series,changepoint_utc,log_ts,delta_h,surface_mood,anomaly_flag
phi_t_detrended,2026-05-30 08:29:15+00:00,2026-05-30 19:16:00+00:00,10.78,"evening technical caution, theological spikes, empty middle",YES
D_t_detrended,2026-04-10 18:54:53+00:00,2026-04-10 07:29:00+00:00,-11.43,"interrogative, infrastructural, multilingual, self-aware",YES
D_t_detrended,2026-04-10 18:54:53+00:00,2026-04-10 13:11:00+00:00,-5.73,"multilingual, confessional, infrastructural, porous",YES
D_t_detrended,2026-04-10 18:54:53+00:00,2026-04-10 18:54:00+00:00,-0.01,"confessional, self-auditing, fragmented, quietly alarmed",YES
D_t_detrended,2026-04-10 18:54:53+00:00,2026-04-11 02:12:00+00:00,7.29,"fragmented, self-monitoring, multilingual, commercially punctuated",YES
D_t_detrended,2026-04-23 19:09:05+00:00,2026-04-23 07:54:00+00:00,-11.25,"scattered, commercial, low-affect, infrastructural",YES
D_t_detrended,2026-04-23 19:09:05+00:00,2026-04-23 13:30:00+00:00,-5.65,"fragmented, self-diagnostic, commercially interspersed",YES
D_t_detrended,2026-04-23 19:09:05+00:00,2026-04-23 19:09:00+00:00,-0.0,"self-quantifying, dispersed, mildly recursive",YES
D_t_detrended,2026-04-23 19:09:05+00:00,2026-04-24 02:38:00+00:00,7.48,"self-auditing, commercially noisy, dispersed",YES
D_t_detrended,2026-05-08 02:53:58+00:00,2026-05-07 19:44:00+00:00,-7.17,"epistemic suspicion, fluency-as-trap warnings",YES
D_t_detrended,2026-05-08 02:53:58+00:00,2026-05-08 02:53:00+00:00,-0.02,"dispersed, nocturnal, measurement-skeptical, quietly meta",YES
D_t_detrended,2026-05-08 02:53:58+00:00,2026-05-08 13:47:00+00:00,10.88,"dispersed, transactional, regulatory-technical, post-nocturnal settling",YES
D_t_detrended,2026-05-26 15:27:49+00:00,2026-05-26 03:32:00+00:00,-11.93,"late-night, gate-obsessed, theological-punctuated",YES
D_t_detrended,2026-05-26 15:27:49+00:00,2026-05-26 09:56:00+00:00,-5.53,"Monday morning, counting things, empirical-skeptical",YES
D_t_detrended,2026-05-26 15:27:49+00:00,2026-05-26 15:27:00+00:00,-0.01,"audit-fatigue, reflexive, Monday afternoon drift",YES
D_t_detrended,2026-05-26 15:27:49+00:00,2026-05-26 20:09:00+00:00,4.69,"scattered, Monday evening, post-saturation drift",NO
D_t_detrended,2026-05-30 13:29:31+00:00,2026-05-30 03:23:00+00:00,-10.11,"late-night technical sharpening, conspiratorial undertone, theological drift",YES
D_t_detrended,2026-05-30 13:29:31+00:00,2026-05-30 08:29:00+00:00,-5.01,"morning technical precision, scattered spam, quiet feed",NO
D_t_detrended,2026-05-30 13:29:31+00:00,2026-05-30 13:29:00+00:00,-0.01,"midday technical granularity, multilingual drift, self-diagnostic",YES
D_t_detrended,2026-05-30 13:29:31+00:00,2026-05-30 19:16:00+00:00,5.77,"evening technical caution, theological spikes, empty middle",YES
